clean_MAG,MAG,OTU_ID,Indicator taxa,host
MAG_81,raw-080913-2_bin_130,mOTU_98656,*(P) Bacillota; (O) Lactobacillales*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_96394,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_96607,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_82461,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_46239,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_72327,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_10362,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_135883,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_79736,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_81,raw-080913-2_bin_130,mOTU_16600,*(P) Bacillota; (G) Streptococcus*,Mimon crenulatum
MAG_82,raw-080913-2_bin_137,mOTU_144740,*(P) Bacillota_A; (G) UBA3738*,Mimon crenulatum
MAG_82,raw-080913-2_bin_137,mOTU_159961,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_82,raw-080913-2_bin_137,mOTU_42675,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_82,raw-080913-2_bin_137,mOTU_43964,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_82,raw-080913-2_bin_137,mOTU_44031,*(P) Bacillota; (G) Gemella*,Mimon crenulatum
MAG_86,raw-080913-2_bin_18,mOTU_38444,*(P) Bacillota; (G) Enterococcus_A*,Mimon crenulatum
MAG_96,raw-080913-2_bin_33,mOTU_139936,*(P) Pseudomonadota; (F) Enterobacteriaceae*,Mimon crenulatum
MAG_96,raw-080913-2_bin_33,mOTU_81535,*(P) Pseudomonadota; (G) Morganella*,Mimon crenulatum
MAG_96,raw-080913-2_bin_33,mOTU_78470,*(P) Pseudomonadota; (G) Morganella*,Mimon crenulatum
MAG_96,raw-080913-2_bin_33,mOTU_80175,*(P) Pseudomonadota; (G) Morganella*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_95503,*(P) Pseudomonadota; (S) HY038 sp014117425*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_113329,*(P) Pseudomonadota; (S) HY038 sp025449335*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_70716,*(P) Pseudomonadota; (S) HY038 sp014117425*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_139409,*(P) Pseudomonadota; (S) HY038 sp014117425*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_139630,*(P) Thermoproteota; (G) FEN-987*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_112641,*(P) Pseudomonadota; (S) HY038 sp014117425*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_77305,*(P) Pseudomonadota; (G) HY038*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_55710,*(P) Pseudomonadota; (G) HY038*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_454,*(P) Pseudomonadota; (G) HY038*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_98578,*(P) Pseudomonadota; (S) HY038 sp014117425*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_30434,*(P) Pseudomonadota; (S) HY038 sp014117425*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_7972,*(P) Pseudomonadota; (G) HY038*,Mimon crenulatum
MAG_114,raw-080913-2_bin_54,mOTU_138841,*(P) Pseudomonadota; (G) HY038*,Mimon crenulatum
MAG_132,raw-080913-2_bin_81,mOTU_95060,*(P) Pseudomonadota; (G) Kluyvera*,Mimon crenulatum
MAG_161,raw-080913-2_rerun_bin_5,mOTU_74994,*(P) Actinomycetota; (F) Streptomycetaceae*,Mimon crenulatum
MAG_171,raw-080913-2_rerun_bin_94,mOTU_142720,*(P) Bacillota; (G) Mammaliicoccus*,Mimon crenulatum
MAG_171,raw-080913-2_rerun_bin_94,mOTU_175599,*(P) Bacillota; (G) Staphylococcus*,Mimon crenulatum
MAG_171,raw-080913-2_rerun_bin_94,mOTU_116429,*(P) Bacillota; (O) Staphylococcales*,Mimon crenulatum
MAG_171,raw-080913-2_rerun_bin_94,mOTU_41382,*(P) Bacillota; (S) Staphylococcus gallinarum*,Mimon crenulatum
MAG_171,raw-080913-2_rerun_bin_94,mOTU_169803,*(P) Bacillota; (G) Staphylococcus*,Mimon crenulatum
MAG_171,raw-080913-2_rerun_bin_94,mOTU_171084,*(P) Bacillota; (G) Staphylococcus*,Mimon crenulatum
MAG_171,raw-080913-2_rerun_bin_94,mOTU_255,*(P) Bacillota; (G) Staphylococcus*,Mimon crenulatum
MAG_171,raw-080913-2_rerun_bin_94,mOTU_78176,*(P) Bacillota; (G) Staphylococcus*,Mimon crenulatum
MAG_171,raw-080913-2_rerun_bin_94,mOTU_136476,*(P) Bacillota; (S) Staphylococcus massiliensis*,Mimon crenulatum
MAG_180,raw-080913-8-1-ph_bin_26,mOTU_61201,*(P) Actinomycetota; (G) Actinomyces*,Phyllostomus hastatus
MAG_182,raw-080913-8-1-ph_bin_29,mOTU_167904,*(P) Bacillota; (S) Enterococcus faecalis*,Mimon crenulatum
