clean_MAG,MAG,OTU_ID,phylum,host_family
MAG_179,raw-080913-8-1-ph_bin_23,mOTU_171600,Bacillota_A,Ruminococcaceae
MAG_226,raw-080913-8-1-ph_rerun_bin_45,mOTU_175328,Bacillota_A,Eubacteriaceae
MAG_234,raw-080913-8-1-ph_rerun_bin_61,mOTU_76108,Bacillota,Gemellaceae
MAG_21,raw-080613-5-ph_rerun_bin_34,mOTU_76582,Actinomycetota,Nocardioidaceae
MAG_12,raw-080613-5-ph_rerun_bin_25,mOTU_65600,Actinomycetota,Mycobacteriaceae
MAG_29,raw-080613-5-ph_rerun_bin_43,mOTU_64651,Actinomycetota,Mycobacteriaceae
MAG_237,raw-080913-8-1-ph_rerun_bin_71,mOTU_76284,Bacillota,Gemellaceae
MAG_22,raw-080613-5-ph_rerun_bin_35,mOTU_76231,Bacillota,Staphylococcaceae
MAG_31,raw-080613-5-ph_rerun_bin_46,mOTU_78403,Actinomycetota,Mycobacteriaceae
MAG_42,raw-080613-5-ph_rerun_bin_5,mOTU_62095,Actinomycetota,Propionibacteriaceae
MAG_11,raw-080613-5-ph_rerun_bin_24,mOTU_76561,Actinomycetota,Propionibacteriaceae
MAG_13,raw-080613-5-ph_rerun_bin_26,mOTU_64671,Actinomycetota,Dermabacteraceae
MAG_193,raw-080913-8-1-ph_bin_48,mOTU_76383,Actinomycetota,Mycobacteriaceae
MAG_9,raw-080613-5-ph_rerun_bin_20,mOTU_71038,Actinomycetota,Mycobacteriaceae
MAG_175,raw-080913-8-1-ph_bin_17,mOTU_62272,Actinomycetota,Actinomycetaceae
MAG_30,raw-080613-5-ph_rerun_bin_44,mOTU_76175,Bacillota,Staphylococcaceae
MAG_4,raw-080613-5-ph_rerun_bin_14,mOTU_62505,Actinomycetota,Propionibacteriaceae
